2023-08-16 12:01:19 DEBUG Logger Initialized
2023-08-16 12:01:19 INFO running the adaptation effector module
2023-08-16 12:45:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:46:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:47:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:48:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:49:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:50:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:51:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:52:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:53:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:54:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:55:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:56:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:57:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:58:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 12:59:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:00:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:01:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:02:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:03:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:04:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:05:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:06:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:07:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:08:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:09:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:10:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:11:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:12:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:13:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:14:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:15:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:16:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:17:20 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:18:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:19:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:20:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:21:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:22:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:23:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:24:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:25:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:26:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:27:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:28:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:29:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:30:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:31:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:32:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:33:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:34:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:35:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:36:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:37:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:38:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:39:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:40:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:41:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:42:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:43:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:44:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:45:21 INFO Inside the Analyzer: Performing the analysis
2023-08-16 13:46:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 13:47:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 13:48:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 13:49:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 13:50:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 13:51:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 13:52:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 13:53:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 13:54:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 13:55:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 13:56:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 13:57:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 13:58:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 13:59:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:00:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:01:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:02:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:03:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:04:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:05:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:06:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:07:21 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:08:22 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:09:22 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:10:22 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:11:22 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:12:22 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:13:22 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:14:22 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:15:22 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:16:22 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:17:22 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:18:22 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:19:22 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:20:22 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:21:22 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:22:22 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:23:22 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:24:22 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:25:22 ERROR [Errno 104] Connection reset by peer
2023-08-16 14:26:22 ERROR [Errno 104] Connection reset by peer
